,en,de,en_idiom,en_task,existing_task
28,I am very eager to hear what you have to say .,"Ich bin sehr gespannt , was Sie nachher sagen werden .",i hear you .,translate English to German: I am very eager to hear what you have to say .,"<pad> Ich bin sehr gespannt darauf, was Sie zu sagen haben.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
29,"In a nutshell , we are working towards a recognisable and approachable European administration .",Kurzum : Wir bemühen uns um eine erkennbare und zugängliche europäische Verwaltung .,in a nutshell,"translate English to German: In a nutshell , we are working towards a recognisable and approachable European administration .","<pad> Kurzum gesagt, wir arbeiten an einer erkennbaren und annähernd europäischen Verwaltung.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
30,"Instead of opening the door , the EU seems determined to find covert ways to close its markets to Russian goods .","Statt die Türen zu öffnen , scheint die EU aber entschlossen , heimlich immer neue Wege zu finden , wie sie ihre Märkte vor russischen Gütern abschotten könnte .",to close the door,"translate English to German: Instead of opening the door , the EU seems determined to find covert ways to close its markets to Russian goods .","<pad> Statt die Tür zu öffnen, scheint die EU entschlossen zu finden, verdeckte Wege zu finden, ihre Märkte gegenüber russischen Gütern zu schließen.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
31,"Mr President , honourable Members , I shall pass on the list of Commission opinions on the Amendments to Parliament 's Services .",Verehrte Damen und Herren ! Ich leite die Liste der Stellungnahmen der Kommission zu den Änderungsanträgen an die Parlamentsdienste weiter .,to pass on,"translate English to German: Mr President , honourable Members , I shall pass on the list of Commission opinions on the Amendments to Parliament 's Services .","<pad> Herr Präsident, verehrte Abgeordnete! Ich werde die Liste der Stellungnahmen der Kommission zu den <unk> nderungsanträgen an die Dienststellen des Parlaments weiterleiten.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
32,It is easy to take the next step and declare her a man-hater and a lesbian .,"Der nächste Schritt , sie zu einer Männerhasserin und Lesbe abzustempeln , folgt auf dem Fuß .",to take it easy,translate English to German: It is easy to take the next step and declare her a man-hater and a lesbian .,"<pad> Es ist leicht, den nächsten Schritt zu machen und sie zu einem Mann-Haupt und zu Lesben zu erklären.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
34,"In a nutshell , Mr President of the Commission , what is our main aim : our main aim is neither more nor less a huge one - helping European citizens to understand that , apart from market forces , we are also interested in the rule of law and that , apart from economic goals , we are also setting goals to bring about integration through full legal development of the concept of citizenship : in other words , as the subjects of rights and obligations , the very backbone of law and justice .","Zusammenfassend , Herr Präsident der Kommission , welches ist die große Herausforderung ? Es ist eine gewaltige Herausforderung , und sie besteht nicht mehr und nicht weniger als darin , dem europäischen Bürger zu zeigen , daß über den Kräften des Marktes die Bestimmungen des Rechts stehen , daß es neben den wirtschaftlichen Zielen noch das Ziel gibt , Integration über die volle rechtliche Ausschöpfung des Konzepts des Bürgers zu erreichen : Das ist für einen Menschen mit Rechten und Pflichten die Achse von Recht und Gerechtigkeit .",in a nutshell,"translate English to German: In a nutshell , Mr President of the Commission , what is our main aim : our main aim is neither more nor less a huge one - helping European citizens to understand that , apart from market forces , we are also interested in the rule of law and that , apart from economic goals , we are also setting goals to bring about integration through full legal development of the concept of citizenship : in other words , as the subjects of rights and obligations , the very backbone of law and justice .","<pad> Kurzum gesagt, Herr Kommissionspräsident, was ist unser Hauptziel : Unser Hauptziel ist weder mehr noch weniger ein riesiges Ziel, nämlich den europäischen Bürgern zu helfen, zu verstehen, dass wir neben den Marktkräften auch an Rechtsstaatlichkeit interessiert sind und dass wir neben den wirtschaftlichen Zielen auch Ziele setzen, die Integration durch vollständige rechtliche Entwicklung des Bürgerschaftskonzepts zu erreichen, d. h. als Subjekt der</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
35,If you do not want us to pass on your e-mail address to other companies or organisations please contact us at the above address .,"Wenn Sie möchten , dass Ihre E-Mailadresse nicht an andere Firmen oder Organisationen weitergeleitet wird , nehmen Sie bitte unter oben angegebener Adresse Kontakt mit uns auf .",to pass on,translate English to German: If you do not want us to pass on your e-mail address to other companies or organisations please contact us at the above address .,"<pad> Wenn Sie nicht wollen, dass wir Ihre E-Mail-Adresse an andere Unternehmen oder Organisationen weitergeben, wenden Sie sich bitte an uns an die oben genannte Adresse.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
36,"I should like Parliament to pull itself together ; I do not want it to search through all 120 paragraphs for all the dangers that can be imagined and for things that should be done , nor to add yet another list of measures which it would be impossible to implement all together and , above all , quickly .","Ich wünsche mir , daß das Parlament aufwacht und nicht in jedem der 120 Absätze alle möglichen und denkbaren Gefahren und alles , was getan werden müßte , sucht und daß es dieses Dokument nicht um eine Liste von Maßnahmen ergänzt , die als Ganzes vor allem kurzfristig unmöglich umgesetzt werden könnten .",to pull together,"translate English to German: I should like Parliament to pull itself together ; I do not want it to search through all 120 paragraphs for all the dangers that can be imagined and for things that should be done , nor to add yet another list of measures which it would be impossible to implement all together and , above all , quickly .","<pad> Ich möchte, dass das Parlament sich zusammenzieht ; ich möchte nicht, dass es alle 120 Absätze nach allen Gefahren durchsucht, die man sich vorstellen kann, nach Dingen, die getan werden sollten, und noch eine weitere Liste von Maßnahmen hinzufügt, die man nicht alle gemeinsam und vor allem schnell umsetzen kann.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
37,It is necessary to pull all these strands together and to strike an appropriate balance .,"Es ist erforderlich , alle diese Aspekte in angemessener Ausgewogenheit miteinander zu verknüpfen .",to pull together,translate English to German: It is necessary to pull all these strands together and to strike an appropriate balance .,"<pad> Es ist notwendig, all diese Ströme zusammenzuziehen und ein angemessenes Gleichgewicht zu finden.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
38,"It is true that the data in question can be passed on to third countries but , as you know , it is laid down that there will be the same power of control over the correct use of such data .","Es stimmt , dass die fraglichen Daten an Drittländer weitergegeben werden können , doch wie Sie wissen , wurde dieselbe Kontrollbefugnis in Bezug auf deren korrekte Verwendung festgelegt .",to be in the know,"translate English to German: It is true that the data in question can be passed on to third countries but , as you know , it is laid down that there will be the same power of control over the correct use of such data .","<pad> Es stimmt zwar, dass die betreffenden Daten an Drittländer weitergegeben werden können, aber wie Sie wissen, wird festgelegt, dass es die gleiche Kontrolle über die korrekte Nutzung solcher Daten geben wird.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
39,This pot guarantees that the product it contains is the genuine high-quality article .,Dieser Topf steht für ein garantiert hochwertiges Produkt .,the genuine article,translate English to German: This pot guarantees that the product it contains is the genuine high-quality article .,"<pad> Dieser Pot garantiert, dass das Produkt, das es enthält, der richtige hochwertige Artikel ist.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
40,No doubt you will pass on to him the displeasure of the European Parliament .,"Ich nehme an , daß Sie ihn über die Unzufriedenheit dieser Versammlung informieren werden .",to pass on,translate English to German: No doubt you will pass on to him the displeasure of the European Parliament .,<pad> Sie werden ihm zweifellos das Missfallen des Europäischen Parlaments übermitteln.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
41,"With no green light from the Security Council , all that remains for them is the choice between two evils : to do nothing and consequently lose face or to take military action outside the UN with all the negative consequences that entails .","Ohne grünes Licht seitens des Sicherheitsrats bleibt ihnen nur die Wahl zwischen zwei Übeln : nichts zu unternehmen und somit das Gesicht zu verlieren oder eine Militäroperation außerhalb des Rahmens der Vereinten Nationen , mit all ihren fatalen Folgen .",to lose face,"translate English to German: With no green light from the Security Council , all that remains for them is the choice between two evils : to do nothing and consequently lose face or to take military action outside the UN with all the negative consequences that entails .",<pad> Ohne grünes Licht vom Sicherheitsrat bleibt ihnen nur die Wahl zwischen zwei Übeln : Nichts zu tun und damit das Gesicht zu verlieren oder militärische Maßnahmen außerhalb der UNO mit all den negativen Folgen zu ergreifen.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
42,"In this day and age of knowledge-based society , the educational level plays a significant role and is thus a decisive factor for investment .","In der modernen , immer stärker wissensbasierten Wirtschaft , spielt die Qualifikation eine maßgebliche Rolle . Sie ist ein wesentlicher Standortfaktor auch für Investitionsentscheidungen .",in this day and age,"translate English to German: In this day and age of knowledge-based society , the educational level plays a significant role and is thus a decisive factor for investment .",<pad> In der heutigen Zeit der wissensbasierten Gesellschaft spielt das Bildungsniveau eine bedeutende Rolle und ist somit ein entscheidender Investitionsfaktor.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
