,en,de,en_task
100,"I am grateful that progress is being made , but I am particularly interested to know whether you are including in this the ten accession countries which will be joining in May .","Ich bin froh darüber , dass es Fortschritte gibt , aber mich würde besonders interessieren , ob Sie auch die zehn Länder , die im Mai der EU beitreten werden , in diesen Prozess einbeziehen .","translate English to German: I am grateful that progress is being made , but I am particularly interested to know whether you are including in this the ten accession countries which will be joining in May ."
101,Pass on one of the provinces below in order to select the desired city .,"Führen Sie eine der nachstehenden Provinzen , um die gewünschte Stadt auszuwählen .",translate English to German: Pass on one of the provinces below in order to select the desired city .
102,"Although we will endeavour to pass any reasonable requests on to the relevant supplier , we regret we cannot guarantee any request will be met .","Obwohl wir bemüht sind , jegliche angemessenen Wünsche an den betreffenden Anbieter weiterzuleiten , können wir bedauerlicherweise nicht garantieren , dass einem Anliegen entsprochen wird .","translate English to German: Although we will endeavour to pass any reasonable requests on to the relevant supplier , we regret we cannot guarantee any request will be met ."
103,"17 And now , it came to pass on the morrow that king Limhi sent a proclamation among all his people , that thereby they might gather themselves together to the a temple , to hear the words which he should speak unto them .","17 Und nun begab es sich : Am nächsten Tag sandte König Limhi einen Aufruf an sein ganzes Volk , demzufolge sie sich beim a Tempel versammeln sollten , um die Worte zu vernehmen , die er zu ihnen sprechen würde .","translate English to German: 17 And now , it came to pass on the morrow that king Limhi sent a proclamation among all his people , that thereby they might gather themselves together to the a temple , to hear the words which he should speak unto them ."
104,"Hence , our customers are offered a one-stop service to get all vital components for efficient and productive logistics out of one single hand .",Somit erhalten unsere Kunden alle Komponenten für eine effiziente und leistungsfähige Logistik aus einer Hand .,"translate English to German: Hence , our customers are offered a one-stop service to get all vital components for efficient and productive logistics out of one single hand ."
105,"DVD cover , volume , prospect , etc . ) appears in a new media , the recognisable picture motive shall thus be subject to new fees , notwithstanding any already paid licences for the same picture in an original use context .","Wird ein bebildertes Objekt ( wie z.B. ein DVD-Cover , ein Bucheinband , ein Prospekt , etc. ) in einem neuen Medium abgebildet , so ist für das darauf erkennbare Bildmotiv erneut Honorar fällig , unabhängig von bereits honorierten Nutzungsrechten für das gleiche Bild im ursprünglichen Verwendungszusammenhang .","translate English to German: DVD cover , volume , prospect , etc . ) appears in a new media , the recognisable picture motive shall thus be subject to new fees , notwithstanding any already paid licences for the same picture in an original use context ."
106,"We know most of what needs to be done in order to achieve the proposed goals , but the fact that the reforms to be carried out are mutually interconnected in the economic , social and environmental fields makes it significantly more complicated to implement the tasks .","Wir wissen im Wesentlichen , was getan werden muss , um die vorgeschlagenen Ziele zu erreichen , aber die Tatsache , dass zwischen den durchzuführenden Reformen in wirtschaftlicher , sozialer und ökologischer Hinsicht eine Wechselwirkung besteht , erschwert die Umsetzung der Aufgaben ganz erheblich .","translate English to German: We know most of what needs to be done in order to achieve the proposed goals , but the fact that the reforms to be carried out are mutually interconnected in the economic , social and environmental fields makes it significantly more complicated to implement the tasks ."
107,"It would have been better to emphasise that the negotiations are not open-ended , which would clear the way for more realistic alternatives such as a preferential partnership .","Vielleicht hätte man unterstreichen sollen , dass die Verhandlungen nicht unbefristet sind , was den Weg für realistischere Alternativen , wie eine bevorrechtigte Partnerschaft , ebnen würde .","translate English to German: It would have been better to emphasise that the negotiations are not open-ended , which would clear the way for more realistic alternatives such as a preferential partnership ."
108,We guarantee to treat your personal data confidentially and not to pass it on to third parties .,"Wir garantieren Ihnen , dass wir Ihre persönlichen Daten vertraulich behandeln und nicht an Dritte weitergeben .",translate English to German: We guarantee to treat your personal data confidentially and not to pass it on to third parties .
109,"I therefore call on the Council not to let another year pass without saving human lives , like those of the 19 Ogonis .","Ich fordere deshalb den Rat auf , nicht erneut ein Jahr verstreichen zu lassen , um Menschenleben , wie das der 19 Ogoni zu retten .","translate English to German: I therefore call on the Council not to let another year pass without saving human lives , like those of the 19 Ogonis ."
110,"We have actually finished with the approval of the Minutes , but I shall pass on the suggestion that we could perhaps add something to the expression &apos; Hughes procedure &apos; , in order to make it clear to those Members who do not understand what is meant by that expression .","Wir haben die Genehmigung des Protokolls zwar schon abgeschlossen , aber ich werde weitergeben , daß wir zum Hughes-Verfahren vielleicht noch etwas hinzufügen , um es den Kolleginnen und Kollegen zu erklären , die sich unter dem Hughes-Verfahren nichts vorstellen können .","translate English to German: We have actually finished with the approval of the Minutes , but I shall pass on the suggestion that we could perhaps add something to the expression &apos; Hughes procedure &apos; , in order to make it clear to those Members who do not understand what is meant by that expression ."
